"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Día,"Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Costo por resultado","Tasa de Conversión a WhatsApp","Conversaciones con mensajes iniciadas","Nuevos contactos de mensajes","Visitas al perfil de Instagram","Importe gastado (COP)",Alcance,Impresiones,Frecuencia,"Clics en el enlace","CTR único (todos)","CPC (costo por clic en el enlace)","CPM (costo por mil impresiones)","CTR (todos)","Seguimientos de Instagram",Interacciones,"Costo por conversación con mensajes iniciada","Inicio del informe","Fin del informe","Resultados (iniciales)"
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-11,active,ad,"Visitas al perfil y a la página",269,38.62825279,0,,,1,10391,1468,1568,1.06811989,135,8.99182561,76.97037037,6626.91326531,8.67346939,0,,,2026-08-11,2026-08-11,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-11,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,9842,0.14285714,1,1,1,9842,1349,1637,1.21349148,8,1.4084507,1230.25,6012.21747098,1.2217471,0,3,9842,2026-08-11,2026-08-11,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-10,active,ad,,,,,,,0,36,13,14,1.07692308,,,,2571.42857143,0,0,,,2026-08-10,2026-08-10,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-10,active,ad,"Visitas al perfil y a la página",232,39.80603448,0,,,3,9235,1404,1405,1.00071225,120,8.4045584,76.95833333,6572.95373665,8.61209964,0,,,2026-08-10,2026-08-10,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-10,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,6857,0.5,1,1,0,6857,779,907,1.16431322,2,0.77021823,3428.5,7560.08820287,0.6615215,0,,6857,2026-08-10,2026-08-10,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-09,active,ad,"Visitas al perfil y a la página",280,44.49642857,0,,,5,12459,1973,2030,1.02889002,155,7.75468829,80.38064516,6137.43842365,7.73399015,0,1,,2026-08-09,2026-08-09,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-09,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,5999.5,0.5,2,1,2,11999,892,1007,1.12892377,5,0.89686099,2399.8,11915.59086395,1.09235353,0,1,5999.5,2026-08-09,2026-08-09,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-08,active,ad,"Visitas al perfil y a la página",8,53.125,0,,,0,425,153,155,1.0130719,4,2.61437908,106.25,2741.93548387,6.4516129,0,2,,2026-08-08,2026-08-08,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-08,active,ad,"Visitas al perfil y a la página",197,42.5177665,0,,,3,8376,1223,1261,1.03107114,116,9.32134096,72.20689655,6642.34734338,9.27835052,0,1,,2026-08-08,2026-08-08,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-08,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,3881.5,0.66666667,2,2,2,7763,443,543,1.22573363,3,1.58013544,2587.66666667,14296.50092081,1.4732965,0,,3881.5,2026-08-08,2026-08-08,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-07,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4873,1,2,2,2,9746,609,743,1.22003284,2,1.64203612,4873,13117.09286676,1.34589502,0,2,4873,2026-08-07,2026-08-07,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-07,active,ad,,,,,,,0,23,14,14,1,,,,1642.85714286,0,0,1,,2026-08-07,2026-08-07,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-07,active,ad,"Visitas al perfil y a la página",211,42.27962085,0,,,2,8921,1286,1303,1.01321928,120,9.17573872,74.34166667,6846.50805833,9.2095165,0,,,2026-08-07,2026-08-07,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-06,active,ad,"Visitas al perfil y a la página",290,36.71724138,0,,,8,10648,1545,1563,1.01165049,159,10.03236246,66.96855346,6812.5399872,10.23672425,0,3,,2026-08-06,2026-08-06,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-06,not_delivering,ad,,,,0,,,2,9919,577,687,1.19064125,1,1.55979203,9919,14438.13682678,1.31004367,0,,,2026-08-06,2026-08-06,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-05,active,ad,,,,,,,0,108,26,27,1.03846154,,3.84615385,,4000,3.7037037,0,,,2026-08-05,2026-08-05,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-05,active,ad,"Visitas al perfil y a la página",218,43.55504587,0,,,2,9495,1345,1385,1.02973978,121,9.21933086,78.47107438,6855.59566787,9.02527076,0,3,,2026-08-05,2026-08-05,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-05,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4677.5,0.33333333,2,1,0,9355,564,659,1.16843972,6,2.30496454,1559.16666667,14195.75113809,2.27617602,0,5,4677.5,2026-08-05,2026-08-05,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-04,active,ad,"Visitas al perfil y a la página",203,52.03448276,0,,,1,10563,1444,1502,1.0401662,117,8.17174515,90.28205128,7032.62316911,7.92276964,0,1,,2026-08-04,2026-08-04,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-04,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,2508,0.75,3,3,3,7524,531,624,1.17514124,4,2.07156309,1881,12057.69230769,2.08333333,0,2,2508,2026-08-04,2026-08-04,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-03,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,14211,0.33333333,1,1,2,14211,638,749,1.17398119,3,2.6645768,4737,18973.29773031,2.40320427,0,6,14211,2026-08-03,2026-08-03,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-03,active,ad,,,,,,,0,75,23,24,1.04347826,,,,3125,0,0,,,2026-08-03,2026-08-03,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-03,active,ad,"Visitas al perfil y a la página",178,48.14606742,0,,,2,8570,1108,1162,1.04873646,88,7.76173285,97.38636364,7375.2151463,7.65920826,0,,,2026-08-03,2026-08-03,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-02,active,ad,,,,,,,0,43,18,18,1,,,,2388.88888889,0,0,,,2026-08-02,2026-08-02,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-02,active,ad,"Visitas al perfil y a la página",245,51.94285714,0,,,9,12726,1643,1706,1.03834449,135,8.09494827,94.26666667,7459.55451348,8.0890973,1,3,,2026-08-02,2026-08-02,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-02,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,11189,0.33333333,1,1,4,11189,617,711,1.15235008,3,2.10696921,3729.66666667,15736.99015471,1.82841069,1,2,11189,2026-08-02,2026-08-02,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-01,active,ad,"Visitas al perfil y a la página",162,57.08024691,0,,,8,9247,1374,1404,1.02183406,88,6.18631732,105.07954545,6586.18233618,6.41025641,1,2,,2026-08-01,2026-08-01,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-01,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,2917,0.6,3,3,4,8751,533,624,1.17073171,5,1.68855535,1750.2,14024.03846154,1.92307692,0,,2917,2026-08-01,2026-08-01,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-31,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,8433,0.25,1,1,0,8433,751,878,1.16910786,4,1.46471372,2108.25,9604.78359909,1.25284738,0,,8433,2026-07-31,2026-07-31,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-31,active,ad,"Visitas al perfil y a la página",2,65.5,0,,,0,131,18,19,1.05555556,1,5.55555556,131,6894.73684211,10.52631579,0,,,2026-07-31,2026-07-31,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-31,active,ad,"Visitas al perfil y a la página",182,54.76923077,0,,,8,9968,1180,1221,1.03474576,105,8.72881356,94.93333333,8163.8001638,8.51760852,1,2,,2026-07-31,2026-07-31,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-30,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4477.5,0.5,2,1,1,8955,791,884,1.11757269,5,1.13780025,1791,10130.09049774,1.13122172,1,,4477.5,2026-07-30,2026-07-30,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-30,active,ad,"Visitas al perfil y a la página",217,49.50691244,0,,,7,10743,1231,1283,1.04224208,121,9.58570268,88.78512397,8373.34372564,9.43102104,0,1,,2026-07-30,2026-07-30,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-29,active,ad,,,,,,,0,149,27,28,1.03703704,,,,5321.42857143,0,0,,,2026-07-29,2026-07-29,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-29,active,ad,"Visitas al perfil y a la página",141,54.13475177,0,,,4,7633,910,944,1.03736264,80,8.68131868,95.4125,8085.80508475,8.36864407,0,1,,2026-07-29,2026-07-29,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-29,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,5128,0.5,2,1,4,10256,831,959,1.15403129,4,2.7677497,2564,10694.4734098,2.3983316,0,4,5128,2026-07-29,2026-07-29,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-28,not_delivering,ad,,,,0,,,1,3992,175,264,1.50857143,3,1.71428571,1330.66666667,15121.21212121,1.51515152,0,1,,2026-07-28,2026-07-28,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-28,not_delivering,ad,,,,,,,0,196,8,9,1.125,,,,21777.77777778,0,0,,,2026-07-28,2026-07-28,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-28,active,ad,,,,,,,0,321,58,61,1.05172414,,1.72413793,,5262.29508197,1.63934426,0,,,2026-07-28,2026-07-28,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-28,active,ad,"Visitas al perfil y a la página",214,48.47663551,0,,,4,10374,1408,1410,1.00142045,115,8.09659091,90.20869565,7357.44680851,8.43971631,1,2,,2026-07-28,2026-07-28,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-28,not_delivering,ad,,,,0,,,1,10870,706,852,1.20679887,3,1.69971671,3623.33333333,12758.21596244,1.4084507,0,1,,2026-07-28,2026-07-28,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-27,active,ad,"Visitas al perfil y a la página",247,42.44939271,0,,,8,10485,1497,1509,1.00801603,140,9.21843687,74.89285714,6948.31013917,9.34393638,2,,,2026-07-27,2026-07-27,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-27,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,6214.5,1,2,2,2,12429,906,1072,1.18322296,2,0.99337748,6214.5,11594.21641791,0.93283582,0,3,6214.5,2026-07-27,2026-07-27,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-27,not_delivering,ad,,,,,,,0,16,2,2,1,,,,8000,0,0,,,2026-07-27,2026-07-27,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-27,active,ad,"Visitas al perfil y a la página",5,130.2,0,,,2,651,143,148,1.03496503,4,2.7972028,162.75,4398.64864865,2.7027027,0,,,2026-07-27,2026-07-27,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-27,not_delivering,ad,,,,0,,,3,4533,188,314,1.67021277,4,3.72340426,1133.25,14436.30573248,2.22929936,0,1,,2026-07-27,2026-07-27,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-26,not_delivering,ad,,,,0,,,0,6203,217,398,1.83410138,2,1.84331797,3101.5,15585.42713568,1.00502513,0,2,,2026-07-26,2026-07-26,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-26,not_delivering,ad,,,,,,,0,219,18,20,1.11111111,,,,10950,0,0,,,2026-07-26,2026-07-26,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-26,active,ad,"Visitas al perfil y a la página",17,91.41176471,0,,,2,1554,292,307,1.05136986,12,5.82191781,129.5,5061.88925081,6.51465798,0,,,2026-07-26,2026-07-26,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-26,active,ad,"Visitas al perfil y a la página",143,60.8951049,0,,,11,8708,1251,1316,1.05195843,81,6.5547562,107.50617284,6617.0212766,6.30699088,1,2,,2026-07-26,2026-07-26,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-26,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,3389.33333333,1,3,3,1,10168,724,858,1.18508287,3,1.38121547,3389.33333333,11850.81585082,1.51515152,0,2,3389.33333333,2026-07-26,2026-07-26,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-25,active,ad,"Visitas al perfil y a la página",140,68.26428571,0,,,13,9557,1422,1449,1.01898734,87,6.04781997,109.85057471,6595.5831608,6.0731539,1,4,,2026-07-25,2026-07-25,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-25,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,8470,0.25,1,,1,8470,250,486,1.944,4,2.4,2117.5,17427.98353909,1.2345679,1,1,8470,2026-07-25,2026-07-25,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-25,not_delivering,ad,,,,,,,0,102,4,4,1,,,,25500,0,0,,,2026-07-25,2026-07-25,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-25,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,10265,1,1,1,4,10265,678,805,1.18731563,1,1.91740413,10265,12751.55279503,1.73913043,0,2,10265,2026-07-25,2026-07-25,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-24,not_delivering,ad,,,,,,,0,164,12,13,1.08333333,,8.33333333,,12615.38461538,7.69230769,0,,,2026-07-24,2026-07-24,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-24,active,ad,"Visitas al perfil y a la página",3,170.66666667,0,,,0,512,108,109,1.00925926,1,0.92592593,512,4697.24770642,1.83486239,0,,,2026-07-24,2026-07-24,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-24,active,ad,"Visitas al perfil y a la página",160,62.1625,0,,,9,9946,1236,1310,1.05987055,90,7.03883495,110.51111111,7592.36641221,6.79389313,1,,,2026-07-24,2026-07-24,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-24,not_delivering,ad,,,,,,,4,9173,564,668,1.18439716,,0.70921986,,13732.03592814,0.5988024,1,,,2026-07-24,2026-07-24,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-24,not_delivering,ad,,,,0,,,2,7951,232,460,1.98275862,3,3.01724138,2650.33333333,17284.7826087,1.52173913,0,1,,2026-07-24,2026-07-24,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-23,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,2816,1,3,3,6,8448,434,508,1.17050691,3,2.53456221,2816,16629.92125984,2.36220472,1,,2816,2026-07-23,2026-07-23,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-23,active,ad,"Visitas al perfil y a la página",146,61.70547945,0,,,11,9009,1148,1200,1.04529617,86,7.31707317,104.75581395,7507.5,7.16666667,1,3,,2026-07-23,2026-07-23,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-23,active,ad,"Visitas al perfil y a la página",2,176.5,0,,,1,353,82,85,1.03658537,2,3.65853659,176.5,4152.94117647,3.52941176,1,,,2026-07-23,2026-07-23,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-23,not_delivering,ad,,,,,,,0,115,7,7,1,,,,16428.57142857,0,0,,,2026-07-23,2026-07-23,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-23,not_delivering,ad,,,,0,,,0,8392,166,274,1.65060241,2,1.80722892,4196,30627.73722628,1.09489051,0,2,,2026-07-23,2026-07-23,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-22,not_delivering,ad,,,,0,,,4,8227,185,385,2.08108108,4,4.32432432,2056.75,21368.83116883,2.33766234,1,,,2026-07-22,2026-07-22,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-22,active,ad,"Visitas al perfil y a la página",3,250.66666667,0,,,1,752,133,139,1.04511278,3,3.0075188,250.66666667,5410.07194245,2.87769784,0,2,,2026-07-22,2026-07-22,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-22,active,ad,"Visitas al perfil y a la página",170,46.97058824,0,,,7,7985,1240,1260,1.01612903,91,7.01612903,87.74725275,6337.3015873,7.3015873,0,5,,2026-07-22,2026-07-22,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-22,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,2340.5,1,4,4,3,9362,600,683,1.13833333,4,3.16666667,2340.5,13707.17423133,2.92825769,0,2,2340.5,2026-07-22,2026-07-22,
